Baud, Errors
8056, 18995, 32
8057, 18995, 13
8058, 18995, 7
8059, 18995, 9
8060, 18995, 30
8061, 18995, 37
8062, 18995, 40
8063, 18995, 41
8064, 18995, 43
8065, 18995, 40
8066, 18995, 41
8067, 18995, 36
8068, 18995, 41
8069, 18995, 28
8070, 18995, 11
8071, 18995, 7
8072, 18995, 14
8073, 18995, 30
8074, 18995, 38
8075, 18995, 38
8076, 18995, 38
8077, 18995, 40
8078, 18995, 33
8079, 18995, 39
8080, 18995, 39
8081, 18995, 33
8082, 18995, 19
8083, 18995, 9
8084, 18995, 9
8085, 18995, 24
8086, 18995, 33
8087, 18995, 35
8088, 18995, 38
8089, 18995, 41
8090, 18995, 40
8091, 18995, 40
8092, 18995, 41
8093, 18995, 38
8094, 18995, 25
8095, 18995, 8
8096, 18995, 8
8097, 18995, 15
8098, 18995, 29
8099, 18995, 37
8100, 18995, 42
7900, 18996, 43
7901, 18996, 39
7902, 18996, 44
7903, 18996, 40
7904, 18996, 45
7905, 18996, 40
7906, 18996, 35
7907, 18996, 19
7908, 18996, 7
7909, 18996, 13
7910, 18996, 31
7911, 18996, 36
7912, 18996, 43
7913, 18996, 45
7914, 18996, 40
7915, 18996, 42
7916, 18996, 41
7917, 18996, 42
7918, 18996, 35
7919, 18996, 23
7920, 18996, 8
7921, 18996, 8
7922, 18996, 17
7923, 18996, 35
7924, 18996, 42
7925, 18996, 40
7926, 18996, 42
7927, 18996, 40
7928, 18996, 44
7929, 18996, 44
7930, 18996, 40
7931, 18996, 34
7932, 18996, 20
7933, 18996, 14
7934, 18996, 14
7935, 18996, 23
7936, 18996, 38
7937, 18996, 35
7938, 18996, 43
7939, 18996, 45
7940, 18996, 43
7941, 18996, 43
7942, 18996, 40
7943, 18996, 38
7944, 18996, 27
7945, 18996, 17
7946, 18996, 10
7947, 18996, 18
7948, 18996, 32
7949, 18996, 39
7950, 18996, 44
7951, 18996, 44
7952, 18996, 45
7953, 18996, 45
7954, 18996, 43
7955, 18996, 38
7956, 18996, 28
7957, 18996, 18
7958, 18996, 12
7959, 18996, 12
7960, 18996, 28
7961, 18996, 33
7962, 18996, 45
7963, 18996, 42
7964, 18996, 44
7965, 18996, 43
7966, 18996, 40
7967, 18996, 35
7968, 18996, 39
7969, 18996, 32
7970, 18996, 16
7971, 18996, 9
7972, 18996, 16
7973, 18996, 31
7974, 18996, 43
7975, 18996, 42
7976, 18996, 46
7977, 18996, 40
7978, 18996, 42
7979, 18996, 43
7980, 18996, 44
7981, 18996, 39
7982, 18996, 19
7983, 18996, 8
7984, 18996, 18
7985, 18996, 22
7986, 18996, 37
7987, 18996, 39
7988, 18996, 42
7989, 18996, 45
7990, 18996, 43
7991, 18996, 38
7992, 18996, 46
7993, 18996, 42
7994, 18996, 26
7995, 18996, 7
7996, 18996, 6
7997, 18996, 10
7998, 18996, 33
7999, 18996, 38
8000, 18996, 46
8001, 18996, 44
8002, 18996, 45
8003, 18996, 43
8004, 18996, 46
8005, 18996, 41
8006, 18996, 32
8007, 18996, 12
8008, 18996, 11
8009, 18996, 12
